レース馬番ID,レースID,レース日付,開催回数,競馬場コード,競馬場名,開催日数,競争条件,レース記号/[抽],レース記号/(馬齢),レース記号/牝,レース記号/(父),レース記号/(別定),レース記号/(混),レース記号/(ハンデ),レース記号/(抽),レース記号/(市),レース記号/(定量),レース記号/牡,レース記号/関東配布馬,レース記号/(指),レース記号/関西配布馬,レース記号/九州産馬,レース記号/見習騎手,レース記号/せん,レース記号/(国際),レース記号/[指],レース記号/(特指),レース番号,重賞回次,レース名,リステッド・重賞競走,障害区分,芝・ダート区分,芝・ダート区分2,右左回り・直線区分,内・外・襷区分,距離(m),天候,馬場状態1,馬場状態2,発走時刻,着順,着順注記,枠番,馬番,馬名,性別,馬齢,斤量,騎手,タイム,着差,1コーナー,2コーナー,3コーナー,4コーナー,上り,単勝,人気,馬体重,場体重増減,東西・外国・地方区分,調教師,馬主,賞金(万円)
19860602040812,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,5.0,,7,12,ゴールデンイブキ,牡,7,56.0,小西一男,1:55.8,1.3/4,1.0,1.0,1.0,1.0,40.0,19.2,8.0,442.0,4.0,東,小西登,伊吹,51.0
19860602040810,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,6.0,,6,10,ユニバックシロー,牡,5,56.0,佐藤吉勝,1:55.8,アタマ,2.0,2.0,2.0,2.0,39.8,34.3,10.0,478.0,2.0,東,坂本栄三,西山正行,
19860602040804,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,7.0,,3,4,カシマナイン,牡,5,56.0,津留千彰,1:55.9,クビ,3.0,3.0,6.0,5.0,39.7,5.0,3.0,478.0,2.0,東,大和田稔,松浦安雄,
19860602040801,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,8.0,,1,1,ミヨノシンセイ,牡,6,54.0,玉井智光,1:55.9,アタマ,10.0,8.0,9.0,8.0,39.4,11.2,6.0,448.0,6.0,東,小西喜蔵,安達ミヨノ,
19860602040802,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,9.0,,2,2,トシシゲマサル,牡,7,56.0,坂井千明,1:56.1,1.1/2,10.0,11.0,9.0,11.0,39.5,7.3,5.0,458.0,-4.0,東,古山良司,宇都宮操,
19860602040808,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,10.0,,5,8,ブルーパンシー,牝,5,54.0,平目孝志,1:56.2,クビ,12.0,11.0,13.0,11.0,39.4,83.4,15.0,422.0,-4.0,東,二本柳一,菅井嘉郎,
19860602040803,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,11.0,,2,3,シズカファイター,牡,5,54.0,原田俊彦,1:56.2,アタマ,8.0,8.0,9.0,8.0,39.7,39.2,12.0,468.0,0.0,東,坂本栄三,花川静子,
19860602040805,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,12.0,,3,5,サンシャインゴルゴ,牡,7,56.0,菅野昭夫,1:56.3,クビ,12.0,11.0,13.0,11.0,39.5,53.6,14.0,444.0,2.0,東,富田六郎,芳賀満男,
19860602040814,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,12.0,,8,14,アンビションパワー,牡,5,53.0,古川寛和,1:56.3,同着,6.0,4.0,2.0,5.0,40.2,29.4,9.0,454.0,-2.0,東,二本柳俊,福島徳佑,
19860602040806,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,14.0,,4,6,シザラライン,牝,6,55.0,田中清隆,1:56.7,2.1/2,15.0,15.0,15.0,15.0,39.7,34.3,10.0,478.0,0.0,東,今津福松,安西光枝,
19860602040807,198606020408,1986-03-02,2,6,中山,4,4歳以上400万下,,(馬齢),,,,,,,,,,,,,,,,,,,8,,4歳以上400万下,,,ダート,,右,,1800,晴,良,,13:55,15.0,,4,7,オンワードビッグ,牡,5,53.0,鈴木寿,1:57.0,2,6.0,4.0,2.0,2.0,41.0,40.8,13.0,486.0,0.0,東,二本柳一,樫山純三,
19860602040904,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,1.0,,4,4,ブラックスキー,牡,5,57.0,田村正光,2:16.1,,3.0,2.0,2.0,2.0,35.2,3.2,2.0,522.0,8.0,東,矢野照正,笹原貞生,1400.0
